Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%)
NOVO ORIENTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;431;416;97%;14%;25%;61%;77%;69;71;71;85;85;83;;62;;72;68;91;73;76;86
OCARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;292;254;87%;21%;30%;49%;72%;71;65;65;81;78;70;62;46;64;66;64;87;81;73;80
OROS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;257;234;91%;21%;41%;37%;67%;75;63;68;82;81;70;51;40;53;57;33;77;77;81;80
PACAJUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;238;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
PACATUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1006;900;89%;30%;29%;40%;65%;57;62;56;79;71;69;100;47;0;64;56;85;56;65;78
PACOTI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;130;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
PACUJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;132;94;71%;15%;28%;57%;73%;76;72;73;86;81;75;;61;;64;55;87;68;63;88
PALHANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;105;96;91%;33%;32%;34%;62%;55;54;48;72;71;69;;40;;59;51;87;57;59;77
PALMACIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;153;40;26%;5%;45%;50%;78%;84;100;75;83;85;80;62;41;74;63;100;84;93;81;90
PARACURU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;578;475;82%;40%;35%;25%;58%;55;52;53;71;63;58;48;37;44;54;54;77;54;57;72
PARAMOTI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;167;90;54%;21%;28%;51%;68%;69;68;69;79;72;78;48;54;56;70;43;84;62;79;78
PEDRA BRANCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;417;373;89%;1%;0%;99%;99%;99;99;99;99;98;98;98;96;99;99;99;99;99;99;99
PENAFORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;106;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
PENTECOSTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;641;366;57%;41%;26%;33%;59%;50;59;48;72;64;60;33;46;0;59;48;78;53;63;64
PEREIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;257;252;98%;17%;26%;58%;75%;73;76;72;87;78;79;0;54;0;72;60;90;70;79;85
PINDORETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;315;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
PIQUET CARNEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;183;163;89%;9%;12%;80%;89%;88;90;84;93;93;94;40;85;57;83;88;95;85;93;91
PIRES FERREIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;126;123;98%;0%;2%;98%;92%;94;;98;94;95;93;88;70;89;98;;96;98;85;99
PORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;185;155;84%;19%;32%;49%;75%;78;;72;84;87;83;64;45;68;61;;87;82;69;85
PORTEIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;251;1;0%;100%;0%;0%;45%;100;;50;50;100;50;0;0;100;0;;50;100;0;0
POTENGI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;113;60;53%;20%;40%;40%;69%;53;59;64;78;83;74;30;39;55;68;70;88;55;83;83
POTIRETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;47;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
QUITERIANOPOLIS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;248;203;82%;20%;31%;49%;72%;68;61;70;86;79;73;70;57;68;75;64;83;69;66;83
QUIXADA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;672;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
QUIXELO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;240;205;85%;27%;28%;45%;67%;60;63;60;83;75;71;0;45;0;61;61;86;61;63;79
QUIXERAMOBIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1286;1013;79%;10%;23%;67%;79%;79;72;77;87;84;80;72;69;78;79;74;89;73;77;87
QUIXERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;246;203;83%;26%;33%;41%;67%;66;61;59;77;77;78;0;46;50;62;61;83;46;64;82
REDENCAO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;428;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
RERIUTABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;214;146;68%;17%;39%;44%;70%;78;63;69;81;87;73;67;52;58;62;47;82;73;69;78
RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;176;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
SABOEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;189;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
SALITRE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;324;274;85%;30%;25%;45%;66%;61;63;57;73;76;72;46;52;56;64;60;77;69;65;72
SANTA QUITERIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;492;212;43%;32%;27%;42%;67%;64;;68;79;75;64;62;49;60;63;;78;57;66;69
SANTANA DO ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;352;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
