Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%)
BREJO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;543;506;93%;9%;15%;76%;73%;83;83;131;87;67;67;83;69;79;90;79;79;50;48
CAMOCIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;888;750;84%;18%;23%;59%;67%;73;81;71;80;59;64;71;70;65;80;69;66;46;39
CAMPOS SALES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;41;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
CANINDE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;866;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
CAPISTRANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;197;8;4%;13%;50%;38%;57%;88;63;88;100;25;38;44;94;75;69;58;38;19;0
CARIRIACU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;184;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
CARIUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;184;179;97%;4%;13%;83%;78%;90;91;92;92;69;69;84;71;84;94;97;86;60;53
CARNAUBAL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;250;225;90%;17%;28%;55%;64%;75;86;98;85;48;49;77;66;62;85;77;67;45;35
CASCAVEL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;732;76;10%;21%;22%;57%;65%;79;80;80;78;57;61;54;61;68;84;72;64;38;36
CATARINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;145;120;83%;11%;26%;63%;67%;86;79;6100;84;57;65;74;65;68;80;75;61;46;31
CATUNDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;171;147;86%;16%;17%;67%;71%;76;84;82;87;67;66;72;62;70;86;69;80;57;48
CAUCAIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;3978;3377;85%;29%;33%;38%;58%;62;76;64;83;36;49;65;70;60;76;63;51;34;18
CEDRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;50;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
CHAVAL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;185;184;99%;28%;28%;45%;62%;62;74;70;83;43;58;76;73;63;76;65;51;34;28
CHORO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;152;137;90%;21%;26%;53%;65%;74;83;74;87;36;51;75;72;70;83;71;68;34;26
CRATEUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;822;719;87%;19%;29%;52%;66%;72;85;79;84;54;59;62;69;67;85;70;64;40;36
CRATO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;166;45;27%;13%;38%;49%;59%;80;78;;91;40;43;66;69;62;98;93;61;41;27
CROATA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;301;273;91%;12%;11%;75%;75%;80;82;102;86;65;69;81;75;76;90;77;81;56;58
ERERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;87;19;22%;16%;5%;79%;69%;79;84;115;100;62;47;83;78;75;84;70;59;43;54
EUSEBIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;1098;981;89%;10%;20%;70%;73%;81;90;87;90;64;68;76;73;74;91;75;76;49;40
FARIAS BRITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;21;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
FORQUILHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;280;247;88%;5%;11%;85%;84%;89;96;92;94;83;82;83;79;86;92;85;87;69;69
FORTALEZA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;19291;1155;6%;26%;26%;47%;59%;73;75;77;81;44;52;64;65;57;80;66;61;39;32
FORTIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;207;195;94%;8%;23%;67%;71%;81;85;238;93;55;60;87;73;72;81;80;72;47;47
GRANJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;765;689;90%;6%;11%;83%;81%;86;90;90;92;80;76;79;83;83;92;82;82;65;65
GRANJEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;81;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
GROAIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;135;132;98%;2%;5%;85%;84%;89;95;;95;78;81;90;79;77;96;70;95;67;77
GUAIUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;67;47;70%;23%;38%;38%;60%;62;70;79;79;62;54;70;54;55;87;66;66;29;15
GUARACIABA DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;545;461;85%;9%;11%;70%;74%;89;85;;85;73;67;80;79;78;93;95;76;63;50
GUARAMIRANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;81;78;96%;9%;14%;68%;75%;86;87;197;91;68;62;87;76;69;90;87;80;57;50
HORIZONTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;31;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
IBARETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;194;125;64%;26%;26%;49%;62%;70;77;62;83;46;55;66;58;69;77;67;57;36;35
IBIAPINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;362;314;87%;17%;22%;61%;68%;71;81;79;84;57;63;73;65;68;86;72;69;50;39
ICAPUI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;276;262;95%;19%;25%;56%;67%;76;79;78;88;50;58;74;77;71;83;68;67;42;29
ICO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;744;619;83%;30%;28%;41%;59%;68;76;77;80;39;52;58;62;62;78;64;56;34;23
IGUATU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;259;193;75%;30%;33%;36%;54%;65;79;73;80;37;36;63;50;50;76;66;62;34;29
IPAPORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;164;159;97%;12%;10%;70%;72%;80;73;4950;82;59;60;79;77;72;88;76;70;55;63
IPAUMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;129;123;95%;12%;15%;73%;68%;81;80;459;86;55;56;75;61;70;86;82;79;56;45
IPU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;209;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
IRACEMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;133;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
IRAUCUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;334;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
