Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 56 (%);H 59 (%);H 60 (%);H 61 (%);H 62 (%);H 63 (%);H 64 (%);H 65 (%);H 66 (%);H 67 (%);H 68 (%)
PALMACIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;136;129;95%;14%;29%;57%;72%;80;62;81;64;72;69;61;70;86;67;84
PARACURU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;588;557;95%;11%;23%;66%;76%;78;73;79;75;71;76;70;56;89;72;86
PARAMOTI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;12;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PEDRA BRANCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;470;380;81%;0%;0%;100%;98%;99;98;99;99;98;99;97;99;97;98;97
PENAFORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;8;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PENTECOSTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;648;403;62%;21%;30%;49%;70%;75;67;82;61;79;68;56;60;89;67;83
PEREIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;253;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PINDORETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;303;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PIQUET CARNEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;28;0;0%;0%;0%;0%;0%;;;;;;;;;;;
PIRES FERREIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;101;101;100%;0%;0%;100%;96%;93;98;100;96;99;95;92;93;100;100;100
PORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;161;145;90%;8%;24%;68%;75%;70;66;81;83;70;77;64;60;89;65;89
