Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 69 (%);H 70 (%);H 71 (%);H 72 (%);H 73 (%);H 74 (%);H 75 (%);H 76 (%);H 77 (%);H 78 (%);H 79 (%);H 80 (%);H 81 (%)
PACATUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1024;950;93%;36%;40%;24%;56%;60;60;57;62;55;59;58;;46;64;40;56;
PACOTI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;136;120;88%;12%;40%;48%;71%;74;65;70;79;69;80;76;;75;77;53;63;
PACUJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;132;94;71%;20%;57%;22%;62%;60;66;64;69;54;76;74;;59;77;31;55;
PALHANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;105;98;93%;40%;34%;27%;56%;59;59;60;66;60;58;60;;47;64;33;53;
PALMACIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;147;140;95%;19%;26%;55%;74%;76;74;76;72;67;79;74;73;69;79;54;75;84
PARACURU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;576;514;89%;41%;39%;20%;55%;53;56;52;59;53;55;54;36;49;66;40;62;75
PARAMOTI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;164;83;51%;46%;41%;13%;48%;55;51;61;47;42;58;41;26;43;69;29;42;46
PEDRA BRANCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;417;373;89%;0%;0%;100%;97%;98;96;98;99;99;100;97;97;93;98;97;92;98
PENAFORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;114;99;87%;22%;41%;35%;65%;75;68;73;69;68;73;66;60;48;78;56;47;67
PENTECOSTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;648;369;57%;52%;34%;14%;55%;57;49;57;68;54;57;46;37;39;55;19;85;63
PEREIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;256;248;97%;30%;38%;33%;61%;64;64;59;66;56;69;70;50;43;72;34;69;0
PINDORETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;314;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
PIQUET CARNEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;179;167;93%;19%;50%;31%;63%;72;64;68;71;65;72;73;;53;75;30;51;
PIRES FERREIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;126;125;99%;1%;0%;99%;95%;94;95;98;90;96;95;98;96;96;97;92;94;50
PORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;185;159;86%;28%;39%;33%;60%;62;61;60;71;53;65;65;;61;66;32;63;
PORTEIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;251;2;1%;100%;0%;0%;18%;17;25;25;0;0;50;0;0;25;25;;0;25
POTENGI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;116;63;54%;40%;49%;11%;53%;48;57;56;56;56;65;59;;34;60;44;56;
