Município,Componente Curricular,Etapa,Previstos,Avaliados,% Participação,Defasagem,Aprendizado intermediário,Aprendizado adequado,Acerto Total,H 01 (%),H 02 (%),H 03 (%),H 04 (%),H 06 (%),H 07 (%),H 08 (%),H 09 (%),H 10 (%),Ciclos,Ano,Componente,H 45 (%),H 46 (%),H 47 (%),H 49 (%),H 50 (%),H 51 (%),H 52 (%),H 05 (%),H 11 (%),H 48 (%),H 53 (%),H 54 (%),H 55 (%),H 56 (%),H 57 (%),H 58 (%),H 59 (%),H 61 (%),H 62 (%),H 12 (%),H 14 (%),H 17 (%),H 19 (%),H 20 (%),H 21 (%),H 22 (%),H 26 (%),H 29 (%),H 60 (%),H 63 (%),H 64 (%),H 65 (%),H 66 (%),H 67 (%),H 68 (%),H 69 (%),H 71 (%),H 76 (%),H 77 (%),H 23 (%),H 24 (%),H 25 (%),H 27 (%),H 28 (%),H 30 (%),H 31 (%),H 36 (%),H 38 (%),H 70 (%),H 72 (%),H 73 (%),H 74 (%),H 75 (%),H 78 (%),H 80 (%),H 81 (%),H 82 (%),H 83 (%),H 85 (%),H 32 (%),H 33 (%),H 34 (%),H 35 (%),H 37 (%),H 39 (%),H 40 (%),H 41 (%),H 42 (%),H 43 (%),H 44 (%),H 79 (%),H 84 (%),H 86 (%),H 87 (%),H 88 (%),H 90 (%),H 91 (%),H 92 (%),H 93 (%),H 13 (%),H 16 (%),H 18 (%),H 15 (%),H 89 (%),H 94 (%),H 95 (%),H 96 (%),H 97 (%),H 98 (%)
CARIRE,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,234,226,97%,23%,23%,54%,70%,92.0,92.0,67.0,50.0,52.0,60.0,76.0,83.0,81.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARIRIACU,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,179,0,0%,0%,0%,0%,0%,,,,,,,,,,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARIUS,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,205,197,96%,16%,17%,66%,76%,94.0,89.0,75.0,60.0,58.0,66.0,88.0,93.0,81.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNAUBAL,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,306,266,87%,35%,31%,34%,64%,92.0,87.0,59.0,35.0,45.0,54.0,62.0,71.0,62.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASCAVEL,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,831,66,8%,9%,32%,59%,77%,96.0,93.0,73.0,50.0,55.0,73.0,79.0,78.0,90.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATARINA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,140,0,0%,0%,0%,0%,0%,,,,,,,,,,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATUNDA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,176,105,60%,11%,29%,60%,74%,97.0,60.0,74.0,59.0,59.0,80.0,75.0,89.0,89.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEDRO,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,196,187,95%,18%,27%,55%,71%,92.0,82.0,68.0,55.0,53.0,65.0,75.0,81.0,86.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAVAL,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,200,183,92%,42%,29%,30%,63%,87.0,88.0,54.0,40.0,45.0,50.0,60.0,61.0,67.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHORO,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO,205,13,6%,23%,54%,23%,58%,90.0,85.0,74.0,33.0,41.0,39.0,34.0,39.0,77.0,1,1,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
